run_name,ckpt_label,test_setting,auroc_mean,auroc_median,auroc_std,bacc_mean,bacc_median,bacc_std,n_systems,n_homo,n_hetero,auroc_homo_mean,bacc_homo_mean,auroc_hetero_mean,bacc_hetero_mean
alpha_noise_01_tuft_s2024,provided,holo,0.9212009811611199,0.9356945958691028,0.05790341282747114,0.5003721971403481,0.5,0.0030129399833595085,1835,1558,277,0.9259208264151211,0.5004099057923033,0.8946539815014313,0.5001601029896401
alpha_noise_01_tuft_s2024,provided,apo,0.8655781133331664,0.9215008177901296,0.14613093031655408,0.5000339924189683,0.5,0.00043515439508208417,309,277,32,0.8665127360943939,0.5000379193410152,0.8574877850562903,0.5
alpha_noise_01_tuft_s2024,provided,af2,0.8597475324106248,0.9190121346883822,0.16058255167710422,0.5001494946907086,0.5,0.0017046643338447583,1582,1366,216,0.8661918217262973,0.5001731402717212,0.8189933694235481,0.4999999582848603
