run_name,ckpt_label,test_setting,auroc_mean,auroc_median,auroc_std,bacc_mean,bacc_median,bacc_std,n_systems,n_homo,n_hetero,auroc_homo_mean,bacc_homo_mean,auroc_hetero_mean,bacc_hetero_mean
joint_mesh_g1.0_m1.0_s2026,provided,holo,0.9092406002013423,0.9318124646153931,0.07569158156881252,0.5004257793966911,0.5,0.003953138783014974,1930,1640,290,0.9142964770633885,0.5004950592109986,0.8806487448435641,0.5000339901019868
joint_mesh_g1.0_m1.0_s2026,provided,apo,0.8673141996340085,0.9150242878106254,0.1434634174515864,0.5001000622675723,0.5,0.0009961164793806812,330,296,34,0.8680509560051985,0.500111555906415,0.8609000853436463,0.5
joint_mesh_g1.0_m1.0_s2026,provided,af2,0.8503447622741691,0.9124288823786854,0.16814534922977722,0.5001333323834751,0.5,0.0014813213998293615,1724,1475,249,0.8572744213666713,0.500156072347471,0.8092955768868579,0.49999862777747556
