method,setting,seed,auroc,n_systems,file
EDTsurf gs=0.5,af2,2025,0.8640848903576986,1582,edtsurf_gs0.5_s2025_provided_af2.csv
EDTsurf gs=0.5,af2,2026,0.8633581695141236,1582,edtsurf_gs0.5_s2026_provided_af2.csv
NanoShaper gs=0.4,af2,2024,0.7180236119236646,1582,nanoshaper_gs0.4_s2024_provided_af2.csv
NanoShaper gs=0.4,af2,2025,0.7230954783850269,1582,nanoshaper_gs0.4_s2025_provided_af2.csv
NanoShaper gs=0.4,af2,2026,0.7131599051884026,1582,nanoshaper_gs0.4_s2026_provided_af2.csv
NanoShaper gs=0.5,af2,2024,0.7208333396751687,1582,nanoshaper_gs0.5_s2024_provided_af2.csv
NanoShaper gs=0.5,af2,2025,0.7274917412781905,1582,nanoshaper_gs0.5_s2025_provided_af2.csv
NanoShaper gs=0.5,af2,2026,0.7157970480180416,1582,nanoshaper_gs0.5_s2026_provided_af2.csv
MSMS,af2,2024,0.6847850909477431,1582,msms_0.1_dist2.0_s2024_provided_af2.csv
MSMS,af2,2025,0.6907182865656771,1582,msms_0.1_dist2.0_s2025_provided_af2.csv
MSMS,af2,2026,0.7667278610297033,1582,msms_0.1_dist2.0_s2026_provided_af2.csv
